I17PERIOD;I17TIMEST;I17SOLO;I17FUNCSYSTEM;I17PORTID;I17CLASSID;I17CFTYPE;I17CFID;I17CFREV;I17CFDATE1;I17CFDATE2;I17VALUE;I17CURR;I17FUNCTVALUE;I17FUNCTCURR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13672/1;;Z10R;CZR_DEF_20220427185913_127;;20211231;20211231;-4777,04;EUR;-4777,04;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13672/1;;Z20P;CZR_DEF_20220427185913_128;;20211231;20211231;10050,00;EUR;10050,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13673/1;;Z10R;CZR_DEF_20220427185913_129;;20211231;20211231;-104808,68;PLN;-22799,86;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_12795/1;;Y10P;CZR_DEF_20220427185913_13;;20211231;20211231;255019,35;EUR;255019,35;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13673/1;;Z20P;CZR_DEF_20220427185913_130;;20211231;20211231;209269,00;PLN;45523,94;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13674/1;;Z10R;CZR_DEF_20220427185913_131;;20211231;20211231;-1848503,28;CZK;-74186,43;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13674/1;;Z20P;CZR_DEF_20220427185913_132;;20211231;20211231;2678857,57;CZK;107511,24;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13675/1;;Z10R;CZR_DEF_20220427185913_133;;20211231;20211231;-501209,41;EUR;-501209,41;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13675/1;;Z20P;CZR_DEF_20220427185913_134;;20211231;20211231;204149,07;EUR;204149,07;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13676/1;;Z10R;CZR_DEF_20220427185913_135;;20211231;20211231;-336089,16;RON;-67905,03;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13676/1;;Z20P;CZR_DEF_20220427185913_136;;20211231;20211231;370763,76;RON;74910,85;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13677/1;;Z10R;CZR_DEF_20220427185913_137;;20211231;20211231;-102673,13;RON;-20744,56;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13677/1;;Z20P;CZR_DEF_20220427185913_138;;20211231;20211231;71136,54;RON;14372,76;EUR
